,Unnamed: 0,summary,generated_sequence_greedy,generated_sequence_beam,generated_sequence_topk,generated_sequence_topp,rougel_greedy,rougel_beam,rougel_topk,rougel_topp,bert_score_f1_greedy,bert_score_f1_beam,bert_score_f1_topk,bert_score_f1_topp
0,0,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",",,,,,,,,, who has been in prison for 20 years, has found","in Wales, a Welsh charity says. ""I think the key is connecting people with the services they need. It's a",has been criticized for lack of help in the rented flat market.,", the Welsh Government has warned that it is important to have a landlord, who can help other people find accommodation, to help make them",0.24,0.21052631578947367,0.29411764705882354,0.23529411764705882,0.8516301512718201,0.8850017786026001,0.8725097179412842,0.8722553253173828
1,1,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.","Police have recovered three firearms, ammunition and a five-figure sum of money.","Police have recovered three firearms, ammunition and a five-figure sum of money.",Police arrested an eight-year-old man who was charged with firearm abuse and assaulted by officers in Edinburgh have been searching for properties.,Detectives say a man has been arrested and charged with conspiracy to steal a firearm.,0.21428571428571427,0.21428571428571427,0.25,0.28571428571428575,0.9134463667869568,0.9134463667869568,0.8902724981307983,0.9003062844276428
2,2,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",",,, have been charged with hate crimes and aggravated kidnapping.,,,,","Hill, 18, and Cooper, all 18, have been charged with hate crimes, aggravated kidnapping and battery, among other things",", 22,'s Witness said their victim. had been accused of beating Trump. and., and, both 18, and one of the defendant and slayings are made. The four are charged","has been charged with murder, kidnapping and battery, among others. A defense said that the attackers stuffed a ",0.2857142857142857,0.21052631578947367,0.18867924528301888,0.2631578947368421,0.8485320806503296,0.8566508889198303,0.8328352570533752,0.8574963212013245
3,3,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",keeper David West Brom has been appointed a youth academy director of football since 2003.,'s former Arsenal goalkeeper has played for the Royals for four years.,keeper Michael Warfinger has signed a new management role as well as a young player for arsenal.,keeper David Warres has been appointed Junior Soccer director for the Royals in Leeds.,0.2580645161290323,0.21621621621621623,0.21052631578947367,0.2222222222222222,0.8710935115814209,0.873785674571991,0.8573768734931946,0.881983757019043
4,4,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",",,,,,,,,,,,,, and the ability",". ""I was glad to have something to eat,"" he said. ""It's very exciting,"" he said.","and to find out what to do. on of eating a fasting diet will be ""no time spent,"" but is not too often.","from food and drinks. ""The aim is to improve blood sugar levels by using a diet to rebuild cells that change the organ's",0.1739130434782609,0.17142857142857143,0.19999999999999998,0.2,0.8543761968612671,0.8660621643066406,0.8423270583152771,0.8739641904830933
5,5,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",",,,,,,,,, and,,, and a merger",",,,,,,,,,, a merger between the two optician","by German optician Specsavers as a merger, is due to be overturned. It can get to be clear that the merger is expected to impact a huge change in competition and sales from the UK.","and becoming the biggest optical business in Europe. has slipped to one spot and put over its company, Essilor, with ",0.19047619047619047,0.19047619047619044,0.18518518518518517,0.1818181818181818,0.847080647945404,0.8475525975227356,0.8639311194419861,0.862890362739563
6,6,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",",,,,, has apologised for the sexist behaviour of the British Cycling team. has","has apologised to British Cycling's new chair Jonathan Browning. ""It's a really difficult question because you",is to get to work at British Cycling's Championships when she has left the Cycling Department.,", Scotland's Olympic Gold medallist Wendy Houvenaghel has said she has not yet achieved a better campaign.",0.27586206896551724,0.17142857142857143,0.25641025641025644,0.17142857142857143,0.8636321425437927,0.8560627102851868,0.8564786911010742,0.881890058517456
7,7,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,",,,,,,, and a new generation of comedians,,,,","a comedy club in the United States.,,.,,s are becoming more and more popular.",(eh really). The concept for a comedy club in Austin is that it's “bad” to be a successful stand-up comedian.,"it in the US, or some other world, such as the Blackhawks, as well as Las Vegas.",0.25,0.24390243902439024,0.2857142857142857,0.19999999999999998,0.8514941334724426,0.8427398204803467,0.8712777495384216,0.8427261710166931
8,8,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",",,, and a new board to run Openreach.,,,,, BT","of BT's giant pension scheme, Openreach, is a 'golden share' that BT's rival",". the first BT retirement scheme and that's a new way of tackling the ""golden share"" which BT bought after losing its own share portfolio.",The Andes have shown that the rulings are a very useful contribution to a new company - the sector's second,0.17142857142857143,0.2127659574468085,0.21052631578947367,0.2777777777777778,0.8457878828048706,0.8584902286529541,0.8603093028068542,0.8482864499092102
9,9,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,has been a key player in the Scottish Cup and has been a key player in the club's history.,"is looking forward to the Scottish Cup semi-finals. ""It's very, very difficult to achieve,"" said Rodgers",'s first Premier League title for Celtic in Scotland was the Premier League match in the summer. The Premier League has now reached its second-ever semi-final at Old Firm in London in a row.,as the German has praised his position as one of the best players in the game.,0.28571428571428575,0.2105263157894737,0.20338983050847456,0.22222222222222224,0.871982216835022,0.882879376411438,0.8548173904418945,0.8579995632171631
